"Timestamp","What is your height (in CM)?","What is your weight (in Kg)?","What is you gender"
"2024/11/19 11:04:43 am EET","188","81","Male"
"2024/11/21 6:08:28 pm EET","180","86","Male"
"2024/11/21 6:18:37 pm EET","190","91","Male"
"2024/11/21 6:18:46 pm EET","186","85","Male"
"2024/11/21 6:18:46 pm EET","188","89","Male"
"2024/11/21 6:18:53 pm EET","164","58","Female"
"2024/11/21 6:18:56 pm EET","167","85","Female"
"2024/11/21 6:19:01 pm EET","160","70","Female"
"2024/11/21 6:19:06 pm EET","162","50","Female"
"2024/11/21 6:19:09 pm EET","157","55","Female"
"2024/11/21 6:19:12 pm EET","163","63","Female"
"2024/11/21 6:19:15 pm EET","169","63","Male"
"2024/11/21 6:19:18 pm EET","153","57","Female"
"2024/11/21 6:19:23 pm EET","183","78","Male"
"2024/11/21 6:19:34 pm EET","160","49","Female"
"2024/11/21 6:19:36 pm EET","157","75","Female"
"2024/11/21 6:19:50 pm EET","163","58","Female"
"2024/11/21 6:19:55 pm EET","161","53","Female"
"2024/11/21 6:20:26 pm EET","174","80","Male"
"2024/11/21 6:21:13 pm EET","160","62","Female"
